프로세스 시작 시간: 2024-12-02 08:23:19
모델 로드 완료 시간: 1.86초
1번째 이미지 처리 시간: 6.2238874435424805초
2번째 이미지 처리 시간: 5.503067255020142초
3번째 이미지 처리 시간: 5.57538104057312초
4번째 이미지 처리 시간: 5.705905437469482초
5번째 이미지 처리 시간: 5.69588828086853초
6번째 이미지 처리 시간: 5.760178327560425초
7번째 이미지 처리 시간: 5.6289589405059814초
8번째 이미지 처리 시간: 5.686230659484863초
9번째 이미지 처리 시간: 5.786110162734985초
10번째 이미지 처리 시간: 5.869028329849243초
11번째 이미지 처리 시간: 5.848836183547974초
12번째 이미지 처리 시간: 5.797945737838745초
13번째 이미지 처리 시간: 5.777278184890747초
14번째 이미지 처리 시간: 5.866973876953125초
15번째 이미지 처리 시간: 5.77479887008667초
16번째 이미지 처리 시간: 5.730893611907959초
17번째 이미지 처리 시간: 5.846030950546265초
18번째 이미지 처리 시간: 5.852484703063965초
19번째 이미지 처리 시간: 5.863100051879883초
20번째 이미지 처리 시간: 5.815336227416992초
21번째 이미지 처리 시간: 5.829446792602539초
22번째 이미지 처리 시간: 5.820618391036987초
23번째 이미지 처리 시간: 5.766487121582031초
24번째 이미지 처리 시간: 5.935373783111572초
25번째 이미지 처리 시간: 5.724048852920532초
이미지 한 장당 소요 시간: 6.059933681488037초
전체 실행 시간: 151.49834203720093초
